,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
224,2043465,"June 23, 2021",New York,Buffalo,114 Hickory St,0,4,"114 Hickory St, Buffalo New York",42.88218554165781,-78.85932410669645
225,2043898,"June 23, 2021",Illinois,Chicago,4900  W Hubbard St,0,4,"4900  W Hubbard St, Chicago Illinois",41.8888487,-87.7482411932304
226,2043715,"June 23, 2021",Illinois,Chicago,7000  S Vincennes Ave,0,4,"7000  S Vincennes Ave, Chicago Illinois",41.6979977,-87.6592612
227,2041726,"June 21, 2021",Missouri,Saint Louis,4002 Sullivan Ave,3,4,"4002 Sullivan Ave, Saint Louis Missouri",38.66181163713701,-90.22734900412563
228,2041555,"June 21, 2021",District of Columbia,Washington,300  50th St NE,0,4,"300  50th St NE, Washington District of Columbia",38.8937872,-76.9301904
229,2040643,"June 20, 2021",Virginia,Richmond,200  Crane St,1,3,"200  Crane St, Richmond Virginia",37.535569,-77.427239
230,2041297,"June 20, 2021",California,Richmond,2108 Dunn Ave,3,5,"2108 Dunn Ave, Richmond California",37.94875188891411,-122.34911520855387
231,2040265,"June 20, 2021",Colorado,Aurora,12455 E Mississippi Ave,1,4,"12455 E Mississippi Ave, Aurora Colorado",39.69668755102041,-104.84435104081633
232,2041363,"June 20, 2021",Florida,Wildwood,9605 Co Rd 235,1,10,"9605 Co Rd 235, Wildwood Florida",Not Found,Not Found
233,2040374,"June 20, 2021",Texas,Dallas,4619 E. R L Thornton Freeway,0,8,"4619 E. R L Thornton Freeway, Dallas Texas",32.790942349999995,-96.76198286669424
234,2040243,"June 20, 2021",Indiana,Granger,7321 Heritage Square Dr,1,4,"7321 Heritage Square Dr, Granger Indiana",41.7265514,-86.1772633
235,2040991,"June 20, 2021",New Jersey,Atlantic City,1700  Atlantic Ave,1,3,"1700  Atlantic Ave, Atlantic City New Jersey",39.360464,-74.431963
236,2040732,"June 20, 2021",Ohio,Cincinnati,3000  Borden St,1,3,"3000  Borden St, Cincinnati Ohio",39.1542687,-84.5485018
237,2039457,"June 19, 2021",Alaska,Anchorage,East 3rd Ave and Gambell St,1,4,"East 3rd Ave and Gambell St, Anchorage Alaska",Not Found,Not Found
238,2039346,"June 19, 2021",Louisiana,Baton Rouge,7132 Florida Blvd,2,4,"7132 Florida Blvd, Baton Rouge Louisiana",30.4561834,-91.0744703
239,2040013,"June 19, 2021",New Jersey,Newark,525 Elizabeth Ave,0,4,"525 Elizabeth Ave, Newark New Jersey",40.70849562395262,-74.20153369120709
240,2039964,"June 19, 2021",California,Oakland,2200  Lakeshore Ave,1,7,"2200  Lakeshore Ave, Oakland California",37.805298,-122.250355
241,2039441,"June 18, 2021",Minnesota,Minneapolis,400  14th Ave SE,0,5,"400  14th Ave SE, Minneapolis Minnesota",Not Found,Not Found
242,2037813,"June 17, 2021",Virginia,Petersburg,Virginia Ave and Melville St,0,4,"Virginia Ave and Melville St, Petersburg Virginia",Not Found,Not Found
243,2037887,"June 17, 2021",North Carolina,Durham,1600  Holloway St,2,2,"1600  Holloway St, Durham North Carolina",35.993638700000005,-78.87373694448824
244,2038622,"June 17, 2021",Ohio,Cincinnati,3056 Mathers St,1,3,"3056 Mathers St, Cincinnati Ohio",39.1365494737875,-84.48598471091879
245,2038152,"June 17, 2021",New Jersey,Paterson,Rosa Parks Blvd and Hamilton Ave,0,4,"Rosa Parks Blvd and Hamilton Ave, Paterson New Jersey",Not Found,Not Found
246,2036635,"June 16, 2021",Maryland,Baltimore,2100  West Lexington St,1,5,"2100  West Lexington St, Baltimore Maryland",39.2905613,-76.6504316
247,2036121,"June 15, 2021",Illinois,Chicago,3800  W Monroe,0,5,"3800  W Monroe, Chicago Illinois",Not Found,Not Found
248,2035313,"June 15, 2021",Alabama,Albertville,956 Industrial Blvd,3,2,"956 Industrial Blvd, Albertville Alabama",34.23682101818583,-86.18754191964685
249,2035452,"June 15, 2021",Illinois,Chicago,6221 S Morgan St,5,3,"6221 S Morgan St, Chicago Illinois",41.78084045,-87.64938371505906
250,2035733,"June 14, 2021",Georgia,Columbus,3400 8th Ave,2,2,"3400 8th Ave, Columbus Georgia",32.495622,-84.982596
251,2034470,"June 14, 2021",Florida,Boynton Beach,I-95,1,3,"I-95, Boynton Beach Florida",26.5035542,-80.0771621
252,2034408,"June 14, 2021",Michigan,Lansing,300  N Cedar St,2,2,"300  N Cedar St, Lansing Michigan",42.733741,-84.54647
253,2033905,"June 13, 2021",Ohio,West Salem,9161 Rainbow Hwy,1,6,"9161 Rainbow Hwy, West Salem Ohio",Not Found,Not Found
254,2033605,"June 13, 2021",Kentucky,Louisville,5200  Robinwood Rd,1,3,"5200  Robinwood Rd, Louisville Kentucky",38.1751141,-85.66601955071697
255,2033123,"June 12, 2021",Ohio,Cincinnati,McHenry Ave and Cavanaugh Ave,0,5,"McHenry Ave and Cavanaugh Ave, Cincinnati Ohio",Not Found,Not Found
256,2032220,"June 12, 2021",Texas,Austin,400  E 6th St,1,14,"400  E 6th St, Austin Texas",30.2674009,-97.73905380821958
257,2032203,"June 12, 2021",Illinois,Chicago,7500  S Prairie Ave,1,9,"7500  S Prairie Ave, Chicago Illinois",41.75823,-87.618419
258,2032486,"June 12, 2021",Ohio,Cleveland,8805 Buckeye Rd,3,4,"8805 Buckeye Rd, Cleveland Ohio",41.48634634967855,-81.62482213986205
259,2031801,"June 11, 2021",Washington,Seattle (White Center),9808 16th Ave SW,2,2,"9808 16th Ave SW, Seattle (White Center) Washington",47.5151644,-122.35483465052744
260,2031976,"June 11, 2021",Georgia,Savannah,200  Avery St,2,6,"200  Avery St, Savannah Georgia",32.074321,-81.083638
261,2032580,"June 11, 2021",North Carolina,Winston Salem (Winston-salem),844 E. Devonshire St,1,3,"844 E. Devonshire St, Winston Salem (Winston-salem) North Carolina",36.06685208085308,-80.22116491483315
262,2032282,"June 11, 2021",Texas,Dallas,378 N Jim Miller Rd,0,5,"378 N Jim Miller Rd, Dallas Texas",32.7174074,-96.69981897226037
263,2030720,"June 10, 2021",Michigan,Detroit,1600 block Calvert Ave,1,3,"1600 block Calvert Ave, Detroit Michigan",Not Found,Not Found
264,2030639,"June 10, 2021",New York,Yonkers,150 Elm St,0,4,"150 Elm St, Yonkers New York",40.933264,-73.8902327
265,2029078,"June 8, 2021",Tennessee,Nashville,Clarksville Pike and Buena Vista Pike,1,3,"Clarksville Pike and Buena Vista Pike, Nashville Tennessee",Not Found,Not Found
266,2028745,"June 8, 2021",Tennessee,Memphis,2246 Eldridge Ave,1,4,"2246 Eldridge Ave, Memphis Tennessee",35.17056911136711,-89.98235202487855
267,2028928,"June 8, 2021",Texas,Houston,4115 Washington Ave,0,5,"4115 Washington Ave, Houston Texas",29.7700409,-95.4029808
268,2027736,"June 7, 2021",Ohio,Cleveland,4100  E 81st St,0,6,"4100  E 81st St, Cleveland Ohio",41.44730628571428,-81.62895257142857
269,2027046,"June 7, 2021",Florida,Homestead,12550 SW 282nd St,3,3,"12550 SW 282nd St, Homestead Florida",Not Found,Not Found
270,2026713,"June 6, 2021",Utah,Salt Lake City,1359 N General Dr,1,4,"1359 N General Dr, Salt Lake City Utah",40.80108163921461,-111.948283
271,2026802,"June 6, 2021",Missouri,Saint Louis,100 N 7th St,0,4,"100 N 7th St, Saint Louis Missouri",38.6268093,-90.1917581
272,2026651,"June 6, 2021",North Carolina,Snow Hill,50  Katie Ct,0,4,"50  Katie Ct, Snow Hill North Carolina",Not Found,Not Found
273,2027725,"June 6, 2021",Ohio,Cleveland,3700  Woodbridge Ave,0,8,"3700  Woodbridge Ave, Cleveland Ohio",41.460898919597994,-81.70932001005025
274,2026123,"June 6, 2021",Florida,Miami (Kendall),10549 SW 109th Ct,3,6,"10549 SW 109th Ct, Miami (Kendall) Florida",25.6710074,-80.37224371799965
275,2027375,"June 6, 2021",California,Oakland,5100  Ygnacio Ave,0,5,"5100  Ygnacio Ave, Oakland California",37.773578,-122.203828
276,2026112,"June 6, 2021",Illinois,Chicago,8900  S Cottage Grove Ave,0,8,"8900  S Cottage Grove Ave, Chicago Illinois",41.73286985,-87.60514135
277,2026257,"June 5, 2021",Louisiana,New Orleans,10150 I-10 Service Rd,0,9,"10150 I-10 Service Rd, New Orleans Louisiana",30.0384776,-89.97170943863173
278,2025260,"June 5, 2021",Indiana,Indianapolis,7500 N Shadeland Ave,2,2,"7500 N Shadeland Ave, Indianapolis Indiana",39.8797036,-86.0461104
279,2025891,"June 4, 2021",Michigan,Muskegon,1675 E. Sherman Blvd,1,3,"1675 E. Sherman Blvd, Muskegon Michigan",43.205790736822024,-86.19432104476283
280,2022821,"June 2, 2021",Ohio,Toledo,1830 W Bancroft St,0,4,"1830 W Bancroft St, Toledo Ohio",41.663494,-83.587679
281,2025254,"June 2, 2021",Arkansas,Magnolia,Calhoun Rd,0,4,"Calhoun Rd, Magnolia Arkansas",33.2549091,-93.2284495
282,2022391,"June 2, 2021",Ohio,Springfield,1935 S Yellow Springs St,0,6,"1935 S Yellow Springs St, Springfield Ohio",39.904748041666664,-83.82893341666666
283,2021130,"May 31, 2021",New York,Brooklyn,Knickerbocker Ave,0,4,"Knickerbocker Ave, Brooklyn New York",40.6987479,-73.9189811
284,2021398,"May 31, 2021",Missouri,Saint Louis,8800  N Broadway,0,4,"8800  N Broadway, Saint Louis Missouri",38.723784,-90.228261
285,2022129,"May 31, 2021",Ohio,Cleveland (Garfield Heights),13000  Alvin Ave,1,5,"13000  Alvin Ave, Cleveland (Garfield Heights) Ohio",Not Found,Not Found
286,2019751,"May 30, 2021",Alabama,Aliceville,7th Street NE,1,4,"7th Street NE, Aliceville Alabama",33.133783,-88.144247
287,2019622,"May 30, 2021",Florida,Hialeah,7630 NW 186th St,3,20,"7630 NW 186th St, Hialeah Florida",Not Found,Not Found
288,2020535,"May 30, 2021",Illinois,Chicago,6718 S Stony Island Ave,0,4,"6718 S Stony Island Ave, Chicago Illinois",41.7727179,-87.5867532
289,2019155,"May 29, 2021",Texas,San Antonio,3300  Fallen Leaf Ln,2,2,"3300  Fallen Leaf Ln, San Antonio Texas",29.519532,-98.548551
290,2019384,"May 29, 2021",Missouri,Saint Louis,10466 W Florissant Ave,1,3,"10466 W Florissant Ave, Saint Louis Missouri",38.7620979,-90.2792021
291,2018931,"May 28, 2021",Florida,Miami,2022 NW 1st Ct,1,6,"2022 NW 1st Ct, Miami Florida",25.7960064,-80.1979564
292,2018495,"May 27, 2021",North Carolina,Durham,1200  Fayetteville St,0,5,"1200  Fayetteville St, Durham North Carolina",Not Found,Not Found
293,2015849,"May 26, 2021",Illinois,Chicago,7200  S Princeton Ave,1,3,"7200  S Princeton Ave, Chicago Illinois",41.763447,-87.632274
294,2015730,"May 26, 2021",California,San Jose,101 W Younger Ave,10,0,"101 W Younger Ave, San Jose California",37.35472524843378,-121.90601056524467
295,2014343,"May 24, 2021",Michigan,Inkster,27000  Rosewood St,2,2,"27000  Rosewood St, Inkster Michigan",42.299263,-83.316912
296,2014381,"May 24, 2021",Ohio,West Jefferson,127 Jackson St,4,0,"127 Jackson St, West Jefferson Ohio",39.94698532222222,-83.27277388888889
297,2012971,"May 23, 2021",Illinois,Chicago,3344 W Ohio St,0,4,"3344 W Ohio St, Chicago Illinois",41.89193465122766,-87.71049090457652
298,2013595,"May 23, 2021",New York,Bay Shore,135 S Clinton Ave,0,4,"135 S Clinton Ave, Bay Shore New York",40.7249872,-73.2595615
299,2013059,"May 23, 2021",New Jersey,Paterson,Hillman St and E Main St,0,5,"Hillman St and E Main St, Paterson New Jersey",Not Found,Not Found
300,2013096,"May 23, 2021",Virginia,Norfolk,3100  Westminster Ave,0,4,"3100  Westminster Ave, Norfolk Virginia",36.84455605,-76.2477897597515
301,2012765,"May 22, 2021",South Carolina,North Charleston,Piggly Wiggly Dr and W Jimtown Dr,1,14,"Piggly Wiggly Dr and W Jimtown Dr, North Charleston South Carolina",Not Found,Not Found
302,2012345,"May 22, 2021",Delaware,Wilmington,800  N Pine St,0,4,"800  N Pine St, Wilmington Delaware",39.740966,-75.542937
303,2013043,"May 22, 2021",Ohio,Columbus,233 S Civic Center Dr,1,5,"233 S Civic Center Dr, Columbus Ohio",39.95666461246126,-83.00329970679392
304,2011569,"May 22, 2021",Minnesota,Minneapolis,322 N 1st Ave,2,7,"322 N 1st Ave, Minneapolis Minnesota",Not Found,Not Found
305,2011610,"May 22, 2021",Indiana,Fort Wayne,2177 Eden St,1,4,"2177 Eden St, Fort Wayne Indiana",41.06643125124348,-85.12009705247415
306,2012633,"May 22, 2021",New Jersey,Bridgeton,1029 E Commerce St,3,11,"1029 E Commerce St, Bridgeton New Jersey",Not Found,Not Found
307,2011077,"May 21, 2021",New York,Albany,1st St and Quail St,1,5,"1st St and Quail St, Albany New York",Not Found,Not Found
308,2011482,"May 21, 2021",New Jersey,Jersey City,16 Brinkerhoff St,2,4,"16 Brinkerhoff St, Jersey City New Jersey",40.7180175,-74.07117450000001
309,2010083,"May 20, 2021",Indiana,Evansville,800  Shadewood Ave,1,3,"800  Shadewood Ave, Evansville Indiana",37.9507602,-87.5515095
310,2007722,"May 18, 2021",California,Oakland,I-580 and Seminary Ave,2,5,"I-580 and Seminary Ave, Oakland California",37.7789665,-122.1812379
311,2008415,"May 18, 2021",California,Hemet,1200  Valencia Ave,1,4,"1200  Valencia Ave, Hemet California",33.75389804133025,-116.9836890175579
312,2005991,"May 16, 2021",Ohio,Cincinnati,7751 Reading Rd,1,3,"7751 Reading Rd, Cincinnati Ohio",39.203289258636204,-84.45516618660855
313,2005776,"May 16, 2021",Georgia,Atlanta,630 Travis St NW,0,4,"630 Travis St NW, Atlanta Georgia",33.77180075,-84.40868959230504
314,2005671,"May 16, 2021",Michigan,East Lansing,6170 Abbot Rd,0,5,"6170 Abbot Rd, East Lansing Michigan",42.76076179282102,-84.48359083105952
315,2006621,"May 16, 2021",Georgia,Columbus,2727 Manchester Expy,0,4,"2727 Manchester Expy, Columbus Georgia",32.5207108,-84.8991224
316,2006204,"May 16, 2021",Georgia,Stone Mountain,4766 Redan Rd,1,5,"4766 Redan Rd, Stone Mountain Georgia",Not Found,Not Found
317,2005813,"May 16, 2021",Alabama,Birmingham,1010 18th St S,1,4,"1010 18th St S, Birmingham Alabama",33.500413167787386,-86.80003127978713
318,2005238,"May 15, 2021",District of Columbia,Washington,3900  Minnesota Ave NE,1,3,"3900  Minnesota Ave NE, Washington District of Columbia",38.8933939,-76.9507725
319,2005196,"May 15, 2021",New York,Bronx,1625 Webster Ave,1,4,"1625 Webster Ave, Bronx New York",40.854908,-73.89644
320,2004666,"May 15, 2021",Illinois,Chicago,7800  S Loomis St,2,3,"7800  S Loomis St, Chicago Illinois",41.8499227,-87.661096
321,2004413,"May 14, 2021",Pennsylvania,Philadelphia,5600  Market St,0,4,"5600  Market St, Philadelphia Pennsylvania",39.9500245,-75.1448887
322,2003383,"May 13, 2021",Georgia,Augusta,201 E Telfair St,2,2,"201 E Telfair St, Augusta Georgia",33.464429,-81.94605
323,2003167,"May 13, 2021",District of Columbia,Washington,200  37th Pl SE,1,3,"200  37th Pl SE, Washington District of Columbia",38.8870869,-76.9523104
324,2003334,"May 13, 2021",Rhode Island,Providence,87 Carolina Ave,0,8,"87 Carolina Ave, Providence Rhode Island",41.79176925,-71.396276
325,2002286,"May 12, 2021",Georgia,Buford,2910 Buford Dr NE,2,2,"2910 Buford Dr NE, Buford Georgia",34.065983,-83.98942719696281
326,2002269,"May 12, 2021",Pennsylvania,Philadelphia,5500  Kingsessing Ave,1,3,"5500  Kingsessing Ave, Philadelphia Pennsylvania",39.937499,-75.223059
327,2001137,"May 11, 2021",Maryland,Baltimore,800  W Lexington St,0,4,"800  W Lexington St, Baltimore Maryland",39.2910158,-76.6331812
