,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
168,761,1725571,"July 5, 2020",Michigan,Detroit,San Juan Dr and W McNichols Rd,2,4,"San Juan Dr and W McNichols Rd, Detroit Michigan",42.4171287,-83.14617729999999
169,762,1725025,"July 4, 2020",Maryland,Temple Hills (Marlow Heights),4600 Dallas Pl,1,3,"4600 Dallas Pl, Temple Hills (Marlow Heights) Maryland",38.8255809,-76.94853859999999
170,771,1723897,"July 3, 2020",Alabama,Birmingham (Hoover),2000 Riverchase Galleria,1,3,"2000 Riverchase Galleria, Birmingham (Hoover) Alabama",33.3790316,-86.8083523
171,775,1722839,"July 2, 2020",New Jersey,Paterson,N Main St and Jefferson St,1,4,"N Main St and Jefferson St, Paterson New Jersey",40.8617436,-74.1265322
172,776,1722142,"July 1, 2020",California,Oakland,MacArthur Fwy and 106th Ave,0,4,"MacArthur Fwy and 106th Ave, Oakland California",37.7429551,-122.1486955
173,783,1722317,"June 30, 2020",Arkansas,Greenbrier,123 Laramie Rd,0,4,"123 Laramie Rd, Greenbrier Arkansas",35.2479435,-92.25325169999999
174,784,1720834,"June 29, 2020",California,Sylmar,Osborne St and Foothill Blvd,0,4,"Osborne St and Foothill Blvd, Sylmar California",34.2735503,-118.3938042
175,787,1719668,"June 28, 2020",Alabama,Akron,Co Rd 21,0,7,"Co Rd 21, Akron Alabama",32.8568549,-87.6818873
176,796,1717543,"June 25, 2020",Pennsylvania,Philadelphia,Emerald St and E Atlantic St,0,4,"Emerald St and E Atlantic St, Philadelphia Pennsylvania",39.9984267,-75.1032887
177,800,1715231,"June 23, 2020",Florida,Lake Worth,Lantana Rd and Edgecliff Ave,0,5,"Lantana Rd and Edgecliff Ave, Lake Worth Florida",26.5894309,-80.1377462
178,804,1712876,"June 22, 2020",Minnesota,Minneapolis,N Morgan Ave and N 16th Ave,0,4,"N Morgan Ave and N 16th Ave, Minneapolis Minnesota",44.99522,-93.304467
179,809,1711747,"June 21, 2020",New York,Buffalo,W Ferry St and Niagara St,0,4,"W Ferry St and Niagara St, Buffalo New York",42.915199,-78.8994539
180,814,1711605,"June 21, 2020",Wisconsin,Milwaukee,North 28th St and West Ruby Ave,0,5,"North 28th St and West Ruby Ave, Milwaukee Wisconsin",43.0989925,-87.9479874
181,816,1710537,"June 20, 2020",New York,Bronx,Mount Eden Pkwy and Monroe Ave,0,4,"Mount Eden Pkwy and Monroe Ave, Bronx New York",40.8426886,-73.9068455
182,817,1711285,"June 20, 2020",New York,Syracuse,Marcellus St and Wyoming St,1,8,"Marcellus St and Wyoming St, Syracuse New York",43.04734759999999,-76.1604352
183,818,1711876,"June 20, 2020",Michigan,Detroit,Appoline St and Puritan Ave,0,4,"Appoline St and Puritan Ave, Detroit Michigan",42.409519,-83.17081879999999
184,819,1711272,"June 20, 2020",Michigan,Saginaw,Livingston Dr and Tausend St,1,3,"Livingston Dr and Tausend St, Saginaw Michigan",43.39532,-83.931541
185,834,1705355,"June 13, 2020",Arkansas,Rison,Carver St and Center St,0,4,"Carver St and Center St, Rison Arkansas",33.9584853,-92.19197059999999
186,835,1705440,"June 13, 2020",California,Hesperia,8100  Julie Ct,0,5,"8100  Julie Ct, Hesperia California",34.3996925,-117.2489495
187,838,1704176,"June 13, 2020",Maryland,Baltimore,700  S Broadway St,0,5,"700  S Broadway St, Baltimore Maryland",39.2834068,-76.5937065
188,839,1704580,"June 13, 2020",Georgia,Atlanta,69 Mason Ave NE,2,5,"69 Mason Ave NE, Atlanta Georgia",33.7554939,-84.33852139999999
189,841,1703509,"June 12, 2020",Pennsylvania,Philadelphia,N Broad St and Colwyn St,0,6,"N Broad St and Colwyn St, Philadelphia Pennsylvania",40.0156561,-75.149801
190,842,1704217,"June 12, 2020",New York,Bronx,E 233rd St and Bronx River Pkwy,1,3,"E 233rd St and Bronx River Pkwy, Bronx New York",40.8947378,-73.8614137
191,851,1700864,"June 9, 2020",North Carolina,Scotland Neck,E 13th St and Greenwood St,0,5,"E 13th St and Greenwood St, Scotland Neck North Carolina",36.131734,-77.418168
192,852,1701426,"June 9, 2020",Pennsylvania,Philadelphia,600 block N 8th St,1,6,"600 block N 8th St, Philadelphia Pennsylvania",39.962288,-75.1519484
193,857,1699577,"June 7, 2020",Arkansas,Hope,1400  East Hickory St,0,5,"1400  East Hickory St, Hope Arkansas",33.682176,-93.5820341
194,864,1698868,"June 6, 2020",California,Sacramento,Gardendale Rd and 29th St,1,4,"Gardendale Rd and 29th St, Sacramento California",38.490477,-121.4740144
195,867,1697453,"June 4, 2020",Alabama,Valhermoso Springs,522 Talucah Rd,7,0,"522 Talucah Rd, Valhermoso Springs Alabama",34.5236956,-86.6767094
196,869,1695586,"June 2, 2020",Wisconsin,Racine,Kewaunee St and Michigan Blvd,0,5,"Kewaunee St and Michigan Blvd, Racine Wisconsin",42.7393779,-87.78277829999999
197,872,1693340,"May 31, 2020",Mississippi,Gulfport,S Carolina Ave and Polk St,1,5,"S Carolina Ave and Polk St, Gulfport Mississippi",30.4088925,-89.0856936
198,877,1693246,"May 30, 2020",Florida,Altha,21281 Apachee Rd,2,4,"21281 Apachee Rd, Altha Florida",30.50656889999999,-85.34988
199,881,1690922,"May 28, 2020",Tennessee,Memphis,TN 385 and Kirby Pkwy,0,4,"TN 385 and Kirby Pkwy, Memphis Tennessee",35.0377,-89.79367900000001
200,888,1689252,"May 26, 2020",Pennsylvania,Philadelphia,2700  N Darian St,0,4,"2700  N Darian St, Philadelphia Pennsylvania",39.99279910000001,-75.1456117
201,889,1688917,"May 26, 2020",Illinois,Chicago,W Washington Blvd and N Hamlin Blvd,2,2,"W Washington Blvd and N Hamlin Blvd, Chicago Illinois",41.88190950000001,-87.72081190000002
202,890,1689555,"May 26, 2020",California,Los Angeles,119th St and Berendo Ave,0,5,"119th St and Berendo Ave, Los Angeles California",33.9250545,-118.2945929
203,891,1688753,"May 26, 2020",South Carolina,Bowman,Dibble St and Rail St,3,5,"Dibble St and Rail St, Bowman South Carolina",33.3478698,-80.6853345
204,893,1687219,"May 24, 2020",Missouri,Saint Louis,Union Boulevard and Cote Brilliante Ave,0,4,"Union Boulevard and Cote Brilliante Ave, Saint Louis Missouri",38.6681719,-90.2660197
205,894,1687037,"May 24, 2020",South Carolina,Myrtle Beach,12th Ave N and Ocean Blvd,0,4,"12th Ave N and Ocean Blvd, Myrtle Beach South Carolina",33.69469120000001,-78.8769899
206,895,1687414,"May 24, 2020",Alabama,Danville,70 Flint Creek Pvt Dr,3,1,"70 Flint Creek Pvt Dr, Danville Alabama",34.5037719,-87.0670217
207,897,1686615,"May 23, 2020",Illinois,Rock Island,800 14 1/2 St,1,4,"800 14 1/2 St, Rock Island Illinois",41.5032477,-90.5784503
208,898,1687027,"May 23, 2020",South Carolina,Jonesville,100  Dover Rd,2,5,"100  Dover Rd, Jonesville South Carolina",34.8210742,-81.6329696
209,899,1687108,"May 23, 2020",North Carolina,Charlotte,4900 Block of Albemarle Rd,0,6,"4900 Block of Albemarle Rd, Charlotte North Carolina",35.19983879999999,-80.76459
210,900,1687097,"May 23, 2020",Michigan,Flint,4100  Minerva St,1,3,"4100  Minerva St, Flint Michigan",43.0634612,-83.7430129
211,901,1686414,"May 23, 2020",Florida,Fort Lauderdale (Lauderhill),7776 NW 44th St,0,5,"7776 NW 44th St, Fort Lauderdale (Lauderhill) Florida",26.1781929,-80.253374
212,911,1682233,"May 17, 2020",South Carolina,Saint Matthews,100  Bugleflower Ln,4,1,"100  Bugleflower Ln, Saint Matthews South Carolina",33.6301905,-80.78220859999999
213,912,1681588,"May 16, 2020",Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,"Martin Luther King Dr and E 4th St, Bogalusa Louisiana",30.7751835,-89.85329700000001
214,919,1677566,"May 11, 2020",Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4,"Rosa Parks Ave and Courtland Dr, Montgomery Alabama",32.349302,-86.316546
215,922,1676746,"May 10, 2020",Texas,Katy,18000  Bonners Park Cir,0,6,"18000  Bonners Park Cir, Katy Texas",29.856645,-95.69671369999999
216,927,1674299,"May 6, 2020",Tennessee,Memphis,Barron Ave and Dogwood Dr,2,2,"Barron Ave and Dogwood Dr, Memphis Tennessee",35.0966127,-89.9296823
217,936,1666327,"April 25, 2020",Florida,Orlando,Elese St and Deerock Dr,1,4,"Elese St and Deerock Dr, Orlando Florida",28.5265572,-81.44661909999999
218,940,1661537,"April 18, 2020",Maryland,Hyattsville,7500  Courtney Pl,2,2,"7500  Courtney Pl, Hyattsville Maryland",38.898815,-76.87577519999999
219,943,1659862,"April 16, 2020",Pennsylvania,Philadelphia,Bustleton Ave and St Vincent St,0,4,"Bustleton Ave and St Vincent St, Philadelphia Pennsylvania",40.045362,-75.0607096
220,945,1656873,"April 11, 2020",California,Bakersfield,Pioneer Rd and Sterling Rd,0,6,"Pioneer Rd and Sterling Rd, Bakersfield California",35.368647,-118.941538
221,948,1654971,"April 8, 2020",South Carolina,Greenwood,1522 Parkway,1,3,"1522 Parkway, Greenwood South Carolina",34.16941,-82.160327
222,952,1652734,"April 5, 2020",California,Los Angeles,89th St and Hobart Ave,1,3,"89th St and Hobart Ave, Los Angeles California",33.956343,-118.3079038
223,960,1648205,"March 29, 2020",Georgia,Atlanta,Ponce de Leon Ave and Parkway Dr,0,4,"Ponce de Leon Ave and Parkway Dr, Atlanta Georgia",33.7731553,-84.3728041
224,968,1640295,"March 15, 2020",North Carolina,Moncure,842 Moncure Flatwood Rd,7,0,"842 Moncure Flatwood Rd, Moncure North Carolina",35.5878396,-79.0153917
225,973,1640278,"March 13, 2020",Louisiana,New Orleans (Algiers),Wagner St and Hero Blvd,0,5,"Wagner St and Hero Blvd, New Orleans (Algiers) Louisiana",29.9329005,-90.04054
226,984,1631831,"February 29, 2020",Colorado,Brighton,Starr Ln and County Rd 2,0,5,"Starr Ln and County Rd 2, Brighton Colorado",40.0004368,-104.7844184
227,987,1627335,"February 23, 2020",North Carolina,Clarkton,71 Tina Ln,3,1,"71 Tina Ln, Clarkton North Carolina",34.498959,-78.68110999999999
228,990,1625787,"February 20, 2020",North Carolina,Greensboro,Martin Luther King Jr Ave and Randolph Dr,0,4,"Martin Luther King Jr Ave and Randolph Dr, Greensboro North Carolina",36.0561859,-79.7844968
229,991,1623696,"February 17, 2020",Mississippi,Port Gibson,8027 Hwy 61,2,2,"8027 Hwy 61, Port Gibson Mississippi",31.8874934,-91.0026843
230,1003,1611563,"January 31, 2020",California,Delano,Hiett Ave and County Line Rd,1,4,"Hiett Ave and County Line Rd, Delano California",35.790406,-119.267666
231,1010,1605770,"January 26, 2020",North Carolina,Salisbury,1935 Jake Alexander Blvd,0,6,"1935 Jake Alexander Blvd, Salisbury North Carolina",35.6915509,-80.51519239999999
232,1012,1606476,"January 24, 2020",North Carolina,Vanceboro,107 Kinshaw Ct,5,0,"107 Kinshaw Ct, Vanceboro North Carolina",35.2336064,-77.11051460000002
233,1031,2125227,"September 25, 2021",California,Riverside,6000 Block of Mariposa Ave,0,6,"6000 Block of Mariposa Ave, Riverside California",33.9208858,-117.4643502
234,1032,2125444,"September 25, 2021",Tennessee,Athens,Co Rd 60,4,0,"Co Rd 60, Athens Tennessee",35.4212763,-84.7425888
235,1035,2123301,"September 23, 2021",Pennsylvania,Philadelphia,38th St and Aspen St,0,4,"38th St and Aspen St, Philadelphia Pennsylvania",39.9668134,-75.1980406
236,1037,2122565,"September 22, 2021",North Carolina,Fayetteville,1100  Charlie Dr,2,2,"1100  Charlie Dr, Fayetteville North Carolina",35.1134875,-78.9350238
237,1039,2120940,"September 20, 2021",Pennsylvania,Philadelphia,Broad St and Chew Ave,1,5,"Broad St and Chew Ave, Philadelphia Pennsylvania",40.0398311,-75.1444483
238,1043,2119745,"September 19, 2021",Texas,Dallas,100  N Malcolm X Blvd,2,4,"100  N Malcolm X Blvd, Dallas Texas",32.784183,-96.7821508
239,1047,2119470,"September 18, 2021",New York,Bronx,Teller Ave and E 172nd St,1,3,"Teller Ave and E 172nd St, Bronx New York",40.8399051,-73.9090368
240,1054,2115947,"September 12, 2021",Minnesota,Saint Paul,7th St W and N Walnut St,4,0,"7th St W and N Walnut St, Saint Paul Minnesota",44.9425281,-93.1051933
241,1056,2122103,"September 12, 2021",Illinois,Blue Island,12200  S Irving Ave,2,2,"12200  S Irving Ave, Blue Island Illinois",41.671774,-87.6767342
242,1061,2113769,"September 11, 2021",New Jersey,Paterson,E 18th St and Fulton Pl,0,4,"E 18th St and Fulton Pl, Paterson New Jersey",40.9231942,-74.1541848
243,1067,2110346,"September 7, 2021",Delaware,Wilmington,A St and New Castle Ave,0,4,"A St and New Castle Ave, Wilmington Delaware",39.7300848,-75.542717
244,1074,2108378,"September 5, 2021",Georgia,Athens,E Clayton St and N Jackson St,0,6,"E Clayton St and N Jackson St, Athens Georgia",33.9587568,-83.3745471
245,1075,2108302,"September 5, 2021",Florida,Lakeland,N Socrum Loop Rd and Fulton Green Rd,4,2,"N Socrum Loop Rd and Fulton Green Rd, Lakeland Florida",28.1409908,-81.9564544
246,1079,2108406,"September 4, 2021",Georgia,Warner Robins,Mauldon Ct and Dunmurry Pl,1,4,"Mauldon Ct and Dunmurry Pl, Warner Robins Georgia",32.6404462,-83.62500109999999
247,1084,2107168,"September 3, 2021",New York,Syracuse,Nelson St and W Marcellus St,0,4,"Nelson St and W Marcellus St, Syracuse New York",43.044463,-76.174705
248,1087,2104725,"August 31, 2021",North Carolina,Elm City,3500  London Church Rd,2,2,"3500  London Church Rd, Elm City North Carolina",35.7632208,-77.9011459
249,1091,2103311,"August 29, 2021",Wisconsin,Milwaukee,N 41st St and W Lloyd St,0,4,"N 41st St and W Lloyd St, Milwaukee Wisconsin",43.0574688,-87.9646659
250,1092,2103132,"August 28, 2021",New York,Albany,Sherman St and Henry Johnson Blvd,0,5,"Sherman St and Henry Johnson Blvd, Albany New York",42.6587275,-73.7644748
251,1098,2098246,"August 23, 2021",Illinois,Chicago,W Wilson Ave and N Sheridan Rd,0,4,"W Wilson Ave and N Sheridan Rd, Chicago Illinois",41.9654295,-87.6547745
252,1112,2094035,"August 18, 2021",California,Los Angeles,W Jefferson Blvd and Culver Blvd,0,4,"W Jefferson Blvd and Culver Blvd, Los Angeles California",33.9685795,-118.4390164
253,1113,2094457,"August 18, 2021",North Carolina,Durham,Ridgeway Ave and Wabash St,1,3,"Ridgeway Ave and Wabash St, Durham North Carolina",35.9752666,-78.8883953
254,1119,2091531,"August 14, 2021",Indiana,Indianapolis,Wheeler St and E 28th St,1,3,"Wheeler St and E 28th St, Indianapolis Indiana",39.8067906,-86.11323019999999
255,1120,2090949,"August 14, 2021",New York,Brooklyn,Lexington Ave and Marcy Ave,0,4,"Lexington Ave and Marcy Ave, Brooklyn New York",40.6880544,-73.9477533
256,1122,2090777,"August 14, 2021",Indiana,Indianapolis,Lafayette Rd and W 38th St,1,4,"Lafayette Rd and W 38th St, Indianapolis Indiana",39.82411159999999,-86.23488479999999
257,1133,2085489,"August 8, 2021",Texas,Houston,2504 FM 1960 Rd E,1,5,"2504 FM 1960 Rd E, Houston Texas",30.0231807,-95.39177180000001
258,1152,2080006,"July 31, 2021",Michigan,Saginaw,2700  Lynnwood Ave,2,2,"2700  Lynnwood Ave, Saginaw Michigan",43.4021141,-83.931116
259,1156,2078540,"July 29, 2021",Iowa,Davenport,Pacific St and West Locust St,0,4,"Pacific St and West Locust St, Davenport Iowa",41.5365639,-90.6123128
260,1157,2077587,"July 29, 2021",Pennsylvania,Pittsburgh,239 Gilkeson Rd,3,2,"239 Gilkeson Rd, Pittsburgh Pennsylvania",40.3578412,-80.0570941
261,1159,2077549,"July 28, 2021",Alabama,Montgomery,1800  Rosa Parks Ave,1,3,"1800  Rosa Parks Ave, Montgomery Alabama",32.354281,-86.316869
262,1160,2076889,"July 28, 2021",South Carolina,Charleston,Hanover St and Johnson St,1,4,"Hanover St and Johnson St, Charleston South Carolina",32.8014566,-79.9412037
263,1167,2072761,"July 24, 2021",Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3,"Cherry St and Martin Luther King Jr Blvd, Macon Georgia",32.834718,-83.62591239999999
264,1174,2069490,"July 21, 2021",Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,4,"1836 Metzerott Rd, Hyattsville (Adelphi) Maryland",39.0049729,-76.97598239999999
265,1175,2070645,"July 21, 2021",Illinois,Chicago,1647 N La Salle Dr,0,8,"1647 N La Salle Dr, Chicago Illinois",41.9123404,-87.63271429999999
266,1176,2068568,"July 20, 2021",Texas,Jacksonville,16241 TX-110,4,0,"16241 TX-110, Jacksonville Texas",32.0258479,-95.1033327
267,1184,2066812,"July 18, 2021",California,Walnut Creek,SOS Dr and San Luis Rd,1,3,"SOS Dr and San Luis Rd, Walnut Creek California",37.91864899999999,-122.0647459
268,1187,2065634,"July 16, 2021",California,Sacramento,L St and Front St,2,4,"L St and Front St, Sacramento California",38.5813045,-121.5064162
269,1190,2064992,"July 16, 2021",District of Columbia,Washington,2900  MLK Ave SE,1,5,"2900  MLK Ave SE, Washington District of Columbia",38.8458831,-76.99640339999999
270,1201,2060293,"July 12, 2021",New Jersey,Iselin,515 US-1,0,4,"515 US-1, Iselin New Jersey",40.55716049999999,-74.31123319999999
271,1203,2060605,"July 12, 2021",New York,Corona (Queens),180th St and 145th Dr,0,4,"180th St and 145th Dr, Corona (Queens) New York",40.84845929999999,-73.9333944
272,1204,2059440,"July 11, 2021",Texas,El Paso (Socorro),1300 Joe Battle Blvd,1,5,"1300 Joe Battle Blvd, El Paso (Socorro) Texas",31.71496699999999,-106.2698439
273,1205,2059404,"July 10, 2021",Pennsylvania,Philadelphia,W Butler St and N 9th St,0,6,"W Butler St and N 9th St, Philadelphia Pennsylvania",40.0097504,-75.1424421
274,1209,2057427,"July 8, 2021",Connecticut,Hartford,Nelson St and Garden St,0,4,"Nelson St and Garden St, Hartford Connecticut",41.7887104,-72.6819204
275,1210,2053262,"July 5, 2021",Ohio,Toledo,Lawrence Ave and Wall St,1,11,"Lawrence Ave and Wall St, Toledo Ohio",41.6737027,-83.56489739999999
276,1214,2052524,"July 4, 2021",California,Thermal,Jackson St and Airport Blvd,0,4,"Jackson St and Airport Blvd, Thermal California",33.642147,-116.2160362
277,1215,2054233,"July 4, 2021",Ohio,Cleveland,Kinsman Rd and E 139th St,0,4,"Kinsman Rd and E 139th St, Cleveland Ohio",41.464595,-81.585925
278,1221,2053786,"July 4, 2021",Missouri,Kansas City,E 43rd St and Indiana Ave,0,4,"E 43rd St and Indiana Ave, Kansas City Missouri",39.0478837,-94.5447604
279,1245,2045579,"June 26, 2021",Illinois,Chicago,6100  N McCormick Blvd,1,3,"6100  N McCormick Blvd, Chicago Illinois",41.9945372,-87.71400810000002
280,1249,2044701,"June 25, 2021",New York,Bronx,Zerega Ave and Watson Ave,0,5,"Zerega Ave and Watson Ave, Bronx New York",40.830599,-73.844415
281,1260,2041363,"June 20, 2021",Florida,Wildwood,9605 Co Rd 235,1,10,"9605 Co Rd 235, Wildwood Florida",28.8960343,-82.0945413
282,1265,2039457,"June 19, 2021",Alaska,Anchorage,East 3rd Ave and Gambell St,1,4,"East 3rd Ave and Gambell St, Anchorage Alaska",61.21954119999999,-149.8710412
283,1269,2039441,"June 18, 2021",Minnesota,Minneapolis,400  14th Ave SE,0,5,"400  14th Ave SE, Minneapolis Minnesota",44.9805432,-93.235508
284,1270,2037813,"June 17, 2021",Virginia,Petersburg,Virginia Ave and Melville St,0,4,"Virginia Ave and Melville St, Petersburg Virginia",37.213073,-77.40942
285,1273,2038152,"June 17, 2021",New Jersey,Paterson,Rosa Parks Blvd and Hamilton Ave,0,4,"Rosa Parks Blvd and Hamilton Ave, Paterson New Jersey",40.9199744,-74.1591267
286,1275,2036121,"June 15, 2021",Illinois,Chicago,3800  W Monroe,0,5,"3800  W Monroe, Chicago Illinois",41.880043,-87.72137130000002
287,1281,2033905,"June 13, 2021",Ohio,West Salem,9161 Rainbow Hwy,1,6,"9161 Rainbow Hwy, West Salem Ohio",40.987079,-82.0953399
288,1283,2033123,"June 12, 2021",Ohio,Cincinnati,McHenry Ave and Cavanaugh Ave,0,5,"McHenry Ave and Cavanaugh Ave, Cincinnati Ohio",39.1446869,-84.573944
289,1291,2030720,"June 10, 2021",Michigan,Detroit,1600 block Calvert Ave,1,3,"1600 block Calvert Ave, Detroit Michigan",42.3839461,-83.1010379
290,1293,2029078,"June 8, 2021",Tennessee,Nashville,Clarksville Pike and Buena Vista Pike,1,3,"Clarksville Pike and Buena Vista Pike, Nashville Tennessee",36.1938952,-86.83157
291,1297,2027046,"June 7, 2021",Florida,Homestead,12550 SW 282nd St,3,3,"12550 SW 282nd St, Homestead Florida",25.5107197,-80.3849621
292,1300,2026651,"June 6, 2021",North Carolina,Snow Hill,50  Katie Ct,0,4,"50  Katie Ct, Snow Hill North Carolina",35.4850999,-77.5858655
293,1313,2022129,"May 31, 2021",Ohio,Cleveland (Garfield Heights),13000  Alvin Ave,1,5,"13000  Alvin Ave, Cleveland (Garfield Heights) Ohio",41.4352612,-81.5920495
294,1315,2019622,"May 30, 2021",Florida,Hialeah,7630 NW 186th St,3,20,"7630 NW 186th St, Hialeah Florida",25.941666,-80.32565360000001
295,1320,2018495,"May 27, 2021",North Carolina,Durham,1200  Fayetteville St,0,5,"1200  Fayetteville St, Durham North Carolina",35.9828683,-78.8988521
296,1327,2013059,"May 23, 2021",New Jersey,Paterson,Hillman St and E Main St,0,5,"Hillman St and E Main St, Paterson New Jersey",40.9292191,-74.16828749999999
297,1329,2012765,"May 22, 2021",South Carolina,North Charleston,Piggly Wiggly Dr and W Jimtown Dr,1,14,"Piggly Wiggly Dr and W Jimtown Dr, North Charleston South Carolina",32.8718716,-80.0010901
298,1332,2011569,"May 22, 2021",Minnesota,Minneapolis,322 N 1st Ave,2,7,"322 N 1st Ave, Minneapolis Minnesota",44.9817762,-93.272576
299,1334,2012633,"May 22, 2021",New Jersey,Bridgeton,1029 E Commerce St,3,11,"1029 E Commerce St, Bridgeton New Jersey",39.4217536,-75.18567879999999
300,1335,2011077,"May 21, 2021",New York,Albany,1st St and Quail St,1,5,"1st St and Quail St, Albany New York",42.667183,-73.7703877
301,1344,2006204,"May 16, 2021",Georgia,Stone Mountain,4766 Redan Rd,1,5,"4766 Redan Rd, Stone Mountain Georgia",33.7622544,-84.1970182
302,1359,1999909,"May 9, 2021",California,Los Angeles,6112 W Afton Pl,1,3,"6112 W Afton Pl, Los Angeles California",34.09502,-118.322826
303,1360,2000132,"May 9, 2021",South Carolina,Charleston,500 Block of King St,0,5,"500 Block of King St, Charleston South Carolina",32.7908771,-79.939334
304,1365,1998476,"May 8, 2021",Maryland,Gwynn Oak (Woodlawn),7300  Maury Rd,4,1,"7300  Maury Rd, Gwynn Oak (Woodlawn) Maryland",39.3101843,-76.7726373
305,1370,1999434,"May 6, 2021",New Jersey,Paterson,22nd Ave and E 30th St,0,5,"22nd Ave and E 30th St, Paterson New Jersey",40.9033994,-74.14782079999999
306,1379,1992534,"May 1, 2021",Louisiana,New Orleans,St Bernard Ave and N Claiborne Ave,2,4,"St Bernard Ave and N Claiborne Ave, New Orleans Louisiana",29.9725872,-90.0654565
307,1382,1992469,"May 1, 2021",Florida,Clewiston,1117 Harlem Academy Ave,1,3,"1117 Harlem Academy Ave, Clewiston Florida",26.7376574,-80.95358039999999
308,1385,1989840,"April 28, 2021",North Carolina,Boone,553 Hardaman Cir,5,0,"553 Hardaman Cir, Boone North Carolina",36.2124213,-81.6042866
309,1388,1987241,"April 26, 2021",Louisiana,Houma,656 Corporate Dr,0,5,"656 Corporate Dr, Houma Louisiana",29.6098623,-90.7582942
310,1389,1988326,"April 26, 2021",Oregon,Gresham,SE Stark St and SE 174th Ave,0,7,"SE Stark St and SE 174th Ave, Gresham Oregon",45.5191451,-122.484608
311,1392,1987235,"April 25, 2021",Alabama,Phenix City,1700 Highway 280 Bypass,0,4,"1700 Highway 280 Bypass, Phenix City Alabama",32.4609911,-85.0191653
312,1398,1981521,"April 18, 2021",Michigan,Detroit,Ward Ave and W McNichols Rd,1,5,"Ward Ave and W McNichols Rd, Detroit Michigan",42.4166243,-83.1742467
313,1403,1980971,"April 17, 2021",Louisiana,La Place (Laplace),624 Golfview Dr,0,9,"624 Golfview Dr, La Place (Laplace) Louisiana",30.0843142,-90.4843125
314,1404,1979684,"April 16, 2021",Michigan,Detroit,Conant St and Minnesota St,0,4,"Conant St and Minnesota St, Detroit Michigan",42.4237923,-83.06714099999999
315,1408,1978616,"April 15, 2021",Florida,Pensacola,700 Truman Ave,0,6,"700 Truman Ave, Pensacola Florida",30.4508854,-87.2525044
316,1416,1975405,"April 10, 2021",Connecticut,Waterbury,36 Gasparri Ln,0,4,"36 Gasparri Ln, Waterbury Connecticut",41.5444505,-73.0118552
317,1419,1971410,"April 7, 2021",South Carolina,Rock Hill,4456 Marshall Rd,7,0,"4456 Marshall Rd, Rock Hill South Carolina",34.8522468,-81.0585637
318,1421,1973435,"April 7, 2021",Ohio,Dayton,Hoover Ave and Summit Square,0,4,"Hoover Ave and Summit Square, Dayton Ohio",39.7613206,-84.2839135
319,1424,1970378,"April 5, 2021",Illinois,Chicago,6800  S Justine Ave,0,7,"6800  S Justine Ave, Chicago Illinois",41.7702472,-87.66302569999999
320,1428,1969633,"April 4, 2021",Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,"6035 S M L King Jr Pkwy, Beaumont Texas",30.02913989999999,-94.0576091
321,1440,1962934,"March 27, 2021",Mississippi,Yazoo City,Dr Martin Luther King Jr Dr and Shady Dr,0,6,"Dr Martin Luther King Jr Dr and Shady Dr, Yazoo City Mississippi",32.8641025,-90.4112479
323,1449,1959549,"March 22, 2021",Michigan,Detroit,13300  Davidson St,1,3,"13300  Davidson St, Detroit Michigan",42.3857271,-83.173908
324,1455,1956001,"March 17, 2021",California,Stockton,Oro Ave and E Main St,0,5,"Oro Ave and E Main St, Stockton California",37.9539772,-121.2342465
325,1456,1954379,"March 16, 2021",Georgia,Acworth,6468 Hwy 92,8,1,"6468 Hwy 92, Acworth Georgia",34.0881409,-84.5808034
326,1464,1951681,"March 13, 2021",Florida,Orlando,200  Ring Rd,1,3,"200  Ring Rd, Orlando Florida",28.5387883,-81.4513092
327,1468,1950346,"March 11, 2021",New Mexico,Ohkay Owingeh (Chamita),89 Rio Arriba Co Rd 56,1,3,"89 Rio Arriba Co Rd 56, Ohkay Owingeh (Chamita) New Mexico",36.0700343,-106.1023748
328,1471,1948233,"March 8, 2021",Florida,Clearwater,US-19 ALT and Drew St,1,3,"US-19 ALT and Drew St, Clearwater Florida",27.9681608,-82.7959132
329,1473,1947241,"March 6, 2021",California,Yuba City,Countryside Dr and Littlejohn Dr,2,3,"Countryside Dr and Littlejohn Dr, Yuba City California",39.1254847,-121.6392332
330,1476,1944507,"March 4, 2021",District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,0,5,"3900 Martin Luther King Jr Ave SW, Washington District of Columbia",38.8324029,-77.0087428
331,1484,1943271,"February 27, 2021",Mississippi,Columbus,1200  7th St S,0,4,"1200  7th St S, Columbus Mississippi",33.4840314,-88.42451849999999
332,1490,1935235,"February 21, 2021",North Carolina,Teachey,Thomas Smith Ln and Bay Rd,0,4,"Thomas Smith Ln and Bay Rd, Teachey North Carolina",34.812221,-77.9641444
333,1498,1928557,"February 13, 2021",California,San Francisco,3rd St and Quesada Ave,0,6,"3rd St and Quesada Ave, San Francisco California",37.7331886,-122.3912154
334,1505,1924338,"February 9, 2021",Minnesota,Buffalo,755 Crossroads Campus Dr,1,4,"755 Crossroads Campus Dr, Buffalo Minnesota",45.1781559,-93.8632021
