,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
180,180,1711605,21-Jun-20,Wisconsin,Milwaukee,North 28th St and West Ruby Ave,0,5,"North 28th St and West Ruby Ave, Milwaukee Wisconsin",43.0989925,-87.9479874
181,181,1710537,20-Jun-20,New York,Bronx,Mount Eden Pkwy and Monroe Ave,0,4,"Mount Eden Pkwy and Monroe Ave, Bronx New York",40.8426886,-73.9068455
182,182,1711285,20-Jun-20,New York,Syracuse,Marcellus St and Wyoming St,1,8,"Marcellus St and Wyoming St, Syracuse New York",43.0473476,-76.1604352
183,183,1711876,20-Jun-20,Michigan,Detroit,Appoline St and Puritan Ave,0,4,"Appoline St and Puritan Ave, Detroit Michigan",42.409519,-83.1708188
184,184,1711272,20-Jun-20,Michigan,Saginaw,Livingston Dr and Tausend St,1,3,"Livingston Dr and Tausend St, Saginaw Michigan",43.39532,-83.931541
185,185,1705355,13-Jun-20,Arkansas,Rison,Carver St and Center St,0,4,"Carver St and Center St, Rison Arkansas",33.9584853,-92.1919706
186,186,1705440,13-Jun-20,California,Hesperia,8100  Julie Ct,0,5,"8100  Julie Ct, Hesperia California",34.3996925,-117.2489495
187,187,1704176,13-Jun-20,Maryland,Baltimore,700  S Broadway St,0,5,"700  S Broadway St, Baltimore Maryland",39.2834068,-76.5937065
188,188,1704580,13-Jun-20,Georgia,Atlanta,69 Mason Ave NE,2,5,"69 Mason Ave NE, Atlanta Georgia",33.7554939,-84.3385214
189,189,1703509,12-Jun-20,Pennsylvania,Philadelphia,N Broad St and Colwyn St,0,6,"N Broad St and Colwyn St, Philadelphia Pennsylvania",40.0156561,-75.149801
190,190,1704217,12-Jun-20,New York,Bronx,E 233rd St and Bronx River Pkwy,1,3,"E 233rd St and Bronx River Pkwy, Bronx New York",40.8947378,-73.8614137
191,191,1700864,9-Jun-20,North Carolina,Scotland Neck,E 13th St and Greenwood St,0,5,"E 13th St and Greenwood St, Scotland Neck North Carolina",36.131734,-77.418168
192,192,1701426,9-Jun-20,Pennsylvania,Philadelphia,600 block N 8th St,1,6,"600 block N 8th St, Philadelphia Pennsylvania",39.962288,-75.1519484
193,193,1699577,7-Jun-20,Arkansas,Hope,1400  East Hickory St,0,5,"1400  East Hickory St, Hope Arkansas",33.682176,-93.5820341
194,194,1698868,6-Jun-20,California,Sacramento,Gardendale Rd and 29th St,1,4,"Gardendale Rd and 29th St, Sacramento California",38.490477,-121.4740144
195,195,1697453,4-Jun-20,Alabama,Valhermoso Springs,522 Talucah Rd,7,0,"522 Talucah Rd, Valhermoso Springs Alabama",34.5236956,-86.6767094
196,196,1695586,2-Jun-20,Wisconsin,Racine,Kewaunee St and Michigan Blvd,0,5,"Kewaunee St and Michigan Blvd, Racine Wisconsin",42.7393779,-87.7827783
197,197,1693340,31-May-20,Mississippi,Gulfport,S Carolina Ave and Polk St,1,5,"S Carolina Ave and Polk St, Gulfport Mississippi",30.4088925,-89.0856936
198,198,1693246,30-May-20,Florida,Altha,21281 Apachee Rd,2,4,"21281 Apachee Rd, Altha Florida",30.5065689,-85.34988
199,199,1690922,28-May-20,Tennessee,Memphis,TN 385 and Kirby Pkwy,0,4,"TN 385 and Kirby Pkwy, Memphis Tennessee",35.0377,-89.793679
200,200,1689252,26-May-20,Pennsylvania,Philadelphia,2700  N Darian St,0,4,"2700  N Darian St, Philadelphia Pennsylvania",39.9927991,-75.1456117
201,201,1688917,26-May-20,Illinois,Chicago,W Washington Blvd and N Hamlin Blvd,2,2,"W Washington Blvd and N Hamlin Blvd, Chicago Illinois",41.8819095,-87.7208119
202,202,1689555,26-May-20,California,Los Angeles,119th St and Berendo Ave,0,5,"119th St and Berendo Ave, Los Angeles California",33.9250545,-118.2945929
203,203,1688753,26-May-20,South Carolina,Bowman,Dibble St and Rail St,3,5,"Dibble St and Rail St, Bowman South Carolina",33.3478698,-80.6853345
204,204,1687219,24-May-20,Missouri,Saint Louis,Union Boulevard and Cote Brilliante Ave,0,4,"Union Boulevard and Cote Brilliante Ave, Saint Louis Missouri",38.6681719,-90.2660197
205,205,1687037,24-May-20,South Carolina,Myrtle Beach,12th Ave N and Ocean Blvd,0,4,"12th Ave N and Ocean Blvd, Myrtle Beach South Carolina",33.6946912,-78.8769899
206,206,1687414,24-May-20,Alabama,Danville,70 Flint Creek Pvt Dr,3,1,"70 Flint Creek Pvt Dr, Danville Alabama",34.5037719,-87.0670217
207,207,1686615,23-May-20,Illinois,Rock Island,800 14 1/2 St,1,4,"800 14 1/2 St, Rock Island Illinois",41.5032477,-90.5784503
