Incident ID,State,City Or County,Address,# Killed,# Injured,Full_Address,Latitude,Longitude,Date,Year
1712408,Illinois,Chicago,200 S Central Park Blvd,0,5,"200 S Central Park Blvd, Chicago Illinois",41.878141,-87.715915,June 22, 2020
1712386,Illinois,Chicago,5200  S Lowe Ave,0,4,"5200  S Lowe Ave, Chicago Illinois",41.799707,-87.641758,June 22, 2020
1713668,Ohio,Columbus,1910 Fountainview Ct,1,4,"1910 Fountainview Ct, Columbus Ohio",39.94069510471778,-82.83436654573885,June 22, 2020
1711626,Texas,Austin,500  E 7th St,0,5,"500  E 7th St, Austin Texas",30.2679596,-97.73748069840951,June 21, 2020
1711410,Minnesota,Minneapolis,2939 Hennepin Ave S,0,11,"2939 Hennepin Ave S, Minneapolis Minnesota",44.9488126,-93.2980878,June 21, 2020
1711690,Alabama,Auburn,600  Railroad Ave,0,4,"600  Railroad Ave, Auburn Alabama",32.6099953605961,-85.49270899380721,June 21, 2020
1713493,Texas,Corpus Christi,5802 Everhart Rd,1,3,"5802 Everhart Rd, Corpus Christi Texas",27.704110043823803,-97.39081782115008,June 21, 2020
1711487,Illinois,Chicago,2600  W Potomac Ave,1,3,"2600  W Potomac Ave, Chicago Illinois",41.904877,-87.692165,June 21, 2020
1710849,Wisconsin,Janesville,6530 S US-51,0,5,"6530 S US-51, Janesville Wisconsin",42.704586,-89.031005,June 20, 2020
1710920,North Carolina,Pinetops,715 E Lashley St,2,2,"715 E Lashley St, Pinetops North Carolina",35.7888797,-77.6375318,June 20, 2020
1710680,New Jersey,Jersey City,Union St and Ocean Ave,1,4,"Union St and Ocean Ave, Jersey City New Jersey",40.7132854,-74.0738258,June 20, 2020
1711397,Kansas,Wichita,3741 N Rock Rd,0,5,"3741 N Rock Rd, Wichita Kansas",37.7510739,-97.2462799760516,June 20, 2020
1711134,New York,Bronx,Mapes Ave,0,4,"Mapes Ave, Bronx New York",40.845204,-73.886746,June 20, 2020
1708889,New York,Albany,8 Albany St,0,7,"8 Albany St, Albany New York",42.6685981,-73.74093845,June 18, 2020
1708432,Illinois,Chicago,1323 W 76th St,0,4,"1323 W 76th St, Chicago Illinois",41.75557245,-87.65722204562024,June 17, 2020
1706994,Iowa,Fort Dodge,900  10th Ave SW,2,2,"900  10th Ave SW, Fort Dodge Iowa",42.497186,-94.185466,June 16, 2020
1706710,Illinois,Chicago,W Diversey Ave,0,4,"W Diversey Ave, Chicago Illinois",41.9308894,-87.7958055,June 15, 2020
1704879,Minnesota,Minneapolis,328 W Broadway Ave,1,6,"328 W Broadway Ave, Minneapolis Minnesota",45.011374,-93.3167106,June 14, 2020
1704862,Kentucky,Louisville,531 Franklin St,1,4,"531 Franklin St, Louisville Kentucky",38.2565537,-85.7395964,June 14, 2020
1704873,Louisiana,Lafayette,400  Jefferson St,0,5,"400  Jefferson St, Lafayette Louisiana",30.226567,-92.017561,June 14, 2020
1705050,Louisiana,Lake Charles,3945 US-90,0,4,"3945 US-90, Lake Charles Louisiana",30.235765,-93.211348,June 14, 2020
1705346,Louisiana,New Orleans,600  S Lopez St,2,2,"600  S Lopez St, New Orleans Louisiana",29.964051,-90.096012,June 14, 2020
1704116,Missouri,Saint Louis,3103 N Grand Blvd,2,4,"3103 N Grand Blvd, Saint Louis Missouri",38.65869465,-90.2188811864572,June 13, 2020
1704415,New York,Wyandanch,76 Grand Blvd,1,7,"76 Grand Blvd, Wyandanch New York",40.75276795,-73.35363497926456,June 13, 2020
1704727,District of Columbia,Washington,3100  Waclark Pl SE,2,5,"3100  Waclark Pl SE, Washington District of Columbia",38.844528,-77.001945,June 13, 2020
1703985,Texas,San Antonio,8134 Broadway St,0,8,"8134 Broadway St, San Antonio Texas",29.284773845162707,-94.8621156465432,June 12, 2020
1702276,Virginia,Richmond,800  N 1st St,0,4,"800  N 1st St, Richmond Virginia",37.549946,-77.436569,June 11, 2020
1702172,District of Columbia,Washington,1200  Mt Olivet Rd NE,0,7,"1200  Mt Olivet Rd NE, Washington District of Columbia",38.910224,-76.984804,June 11, 2020
1703044,Louisiana,Monroe,1101 Richwood Road 2,6,0,"1101 Richwood Road 2, Monroe Louisiana",32.437622,-92.095934,June 11, 2020
1703055,Texas,Houston,5840 Glenmont Dr,2,4,"5840 Glenmont Dr, Houston Texas",29.71998781632653,-95.48366980612244,June 11, 2020
1702372,California,Sacramento,68th Avenue and Della Circle,1,4,"68th Avenue and Della Circle, Sacramento California",38.4890326,-121.493799,June 10, 2020
1701382,Ohio,Toledo,1100  Baker St,1,3,"1100  Baker St, Toledo Ohio",41.667816,-83.532573,June 10, 2020
1701714,California,Paso Robles,900 Park St,2,4,"900 Park St, Paso Robles California",35.6238003,-120.6894332,June 10, 2020
1701491,California,Vallejo,100  Cynthia Ave,2,3,"100  Cynthia Ave, Vallejo California",38.146599,-122.230545,June 9, 2020
1700371,New York,Brooklyn,512 Bristol St,0,4,"512 Bristol St, Brooklyn New York",40.65838145,-73.91004475,June 8, 2020
1700250,Tennessee,Memphis,1525 E McLemore Ave,0,4,"1525 E McLemore Ave, Memphis Tennessee",35.11537874835584,-90.0114558729665,June 8, 2020
1699193,Tennessee,Dyersburg,1305 Grant St,0,5,"1305 Grant St, Dyersburg Tennessee",36.023533460073835,-89.37178538562243,June 7, 2020
1700234,Illinois,Robbins,13600  Central Park Ave,1,3,"13600  Central Park Ave, Robbins Illinois",41.64569,-87.70891,June 7, 2020
1699211,Missouri,Sikeston,915 Plantation Blvd,2,7,"915 Plantation Blvd, Sikeston Missouri",36.86635561320944,-89.56915054944332,June 7, 2020
1698987,Illinois,Chicago,50  S Seeley Ave,1,3,"50  S Seeley Ave, Chicago Illinois",41.88064772688836,-87.67795919498228,June 7, 2020
1699667,Illinois,Chicago,3700  S State St,0,6,"3700  S State St, Chicago Illinois",41.8328296,-87.6264755,June 7, 2020
1698306,Missouri,Kansas City,E 18th St and Vine St,1,4,"E 18th St and Vine St, Kansas City Missouri",39.0912231,-94.56489,June 6, 2020
1700812,Mississippi,Drew,Wilson Ave,0,5,"Wilson Ave, Drew Mississippi",33.811111,-90.525839,June 6, 2020
1698276,Ohio,Ironton,1305 S 3rd St,0,4,"1305 S 3rd St, Ironton Ohio",38.52568465306122,-82.67766367346938,June 6, 2020
1697541,Colorado,Denver,4900  Wheeling St,0,4,"4900  Wheeling St, Denver Colorado",39.786347,-104.835741,June 5, 2020
1695998,Texas,Dallas,7460 S Westmoreland Rd,1,3,"7460 S Westmoreland Rd, Dallas Texas",32.655139250000005,-96.88443174400145,June 2, 2020
1695645,Illinois,Chicago,8404 S Colfax Ave,0,4,"8404 S Colfax Ave, Chicago Illinois",41.7424569,-87.56147820849515,June 2, 2020
1694735,Missouri,Saint Louis,1915 Olive St,0,4,"1915 Olive St, Saint Louis Missouri",38.63181551353224,-90.2073416371566,June 1, 2020
1693580,Pennsylvania,Philadelphia,700  E Clearfield St,0,4,"700  E Clearfield St, Philadelphia Pennsylvania",39.995315,-75.117589,May 31, 2020
1692513,New Jersey,Paterson,E 23rd St and 10th Ave,0,4,"E 23rd St and 10th Ave, Paterson New Jersey",40.93980015384615,-74.14530515384615,May 30, 2020
1692912,District of Columbia,Washington,300  37th St SE,0,4,"300  37th St SE, Washington District of Columbia",38.88560445,-76.9527091624161,May 30, 2020
1693064,Texas,Houston,9635 Scott St,1,4,"9635 Scott St, Houston Texas",29.7263588,-95.3500267,May 30, 2020
1692496,North Carolina,Gastonia,3000  Earl Ln,1,5,"3000  Earl Ln, Gastonia North Carolina",35.229602,-81.207509,May 30, 2020
1692102,Virginia,Portsmouth,500  Edwards St,0,5,"500  Edwards St, Portsmouth Virginia",36.822662,-76.299267,May 29, 2020
1691221,Kentucky,Louisville,601 W Jefferson St,0,7,"601 W Jefferson St, Louisville Kentucky",38.2546263,-85.76055713323035,May 28, 2020
